식당명,주소,위도,경도,거리(km),"{ name: '식당명', address: '주소', latitude: 위도, longitude: 경도, distance: 거리(km) },",,,,,
프레소 커피 랩(PRESO COFFEE LAB),경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터 지1층 B103호 ,37.40868154,127.0970774,0.79,"{ name: '프레소 커피 랩(PRESO COFFEE LAB)', address: '경기도 성남시 수정구 시흥동 293 판교 제2테크노밸리 경기 기업성장센터 지1층 B103호 ', latitude: 37.40868154, longitude: 127.0970774, distance: 0.79 },",,,,,
하루엔소쿠 판교점,경기도 성남시 수정구 시흥동 293 1층 121호 ,37.40868154,127.0970774,0.79,"{ name: '하루엔소쿠 판교점', address: '경기도 성남시 수정구 시흥동 293 1층 121호 ', latitude: 37.40868154, longitude: 127.0970774, distance: 0.79 },",,,,,
유명식당,경기도 성남시 수정구 시흥동 71 1층 일부 ,37.41742545,127.1079196,0.84,"{ name: '유명식당', address: '경기도 성남시 수정구 시흥동 71 1층 일부 ', latitude: 37.41742545, longitude: 127.1079196, distance: 0.84 },",,,,,
(주)에스앤에스컴퍼니 판교파미어스몰 서가앤쿡,경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 A동 106-1호 ,37.40804159,127.0981152,0.85,"{ name: '(주)에스앤에스컴퍼니 판교파미어스몰 서가앤쿡', address: '경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 A동 106-1호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
101번지 남산돈까스 판교파미어스몰점,경기도 성남시 수정구 시흥동 288-2 C동 지하1층 B109-2호 ,37.40804159,127.0981152,0.85,"{ name: '101번지 남산돈까스 판교파미어스몰점', address: '경기도 성남시 수정구 시흥동 288-2 C동 지하1층 B109-2호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
1992덮밥&짜글이 판교파미어스몰점,경기도 성남시 수정구 시흥동 288-2 2층 203-2호 ,37.40804159,127.0981152,0.85,"{ name: '1992덮밥&짜글이 판교파미어스몰점', address: '경기도 성남시 수정구 시흥동 288-2 2층 203-2호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
담소소사골순대육개장 판교4호점,경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 D동 2층 207-3호 ,37.40804159,127.0981152,0.85,"{ name: '담소소사골순대육개장 판교4호점', address: '경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 D동 2층 207-3호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
동글이김밥,경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 F동 211호 ,37.40804159,127.0981152,0.85,"{ name: '동글이김밥', address: '경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 F동 211호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
동해강릉초당짬뽕순두부 판교파미어스몰점,경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 E동 206-2호 ,37.40804159,127.0981152,0.85,"{ name: '동해강릉초당짬뽕순두부 판교파미어스몰점', address: '경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 E동 206-2호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
마당 이구공(MADANG 290),경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 F동 303-1호 ,37.40804159,127.0981152,0.85,"{ name: '마당 이구공(MADANG 290)', address: '경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 F동 303-1호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
마스터다이닝 해담가,경기도 성남시 수정구 시흥동 288-2 C2블록 판교아이스퀘어A동 1층 107호 ,37.40804159,127.0981152,0.85,"{ name: '마스터다이닝 해담가', address: '경기도 성남시 수정구 시흥동 288-2 C2블록 판교아이스퀘어A동 1층 107호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
멜티코,경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 F동 지하1층 B103호 ,37.40804159,127.0981152,0.85,"{ name: '멜티코', address: '경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 F동 지하1층 B103호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
바디쉐프 판교점,경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 B동 3층 301-3호 ,37.40804159,127.0981152,0.85,"{ name: '바디쉐프 판교점', address: '경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 B동 3층 301-3호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
본도시락 판교 파미어스점,경기도 성남시 수정구 시흥동 288-2 지하1층 B105-2호 ,37.40804159,127.0981152,0.85,"{ name: '본도시락 판교 파미어스점', address: '경기도 성남시 수정구 시흥동 288-2 지하1층 B105-2호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
북촌손만두 판교파미어스몰점,경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 B동 201-4호 ,37.40804159,127.0981152,0.85,"{ name: '북촌손만두 판교파미어스몰점', address: '경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 B동 201-4호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
삼산회관 파미어스몰점,경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어D동 2층 207-1호 ,37.40804159,127.0981152,0.85,"{ name: '삼산회관 파미어스몰점', address: '경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어D동 2층 207-1호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
샐러딧 판교파미어스점,경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 B동 103-1호(1층/c블럭) ,37.40804159,127.0981152,0.85,"{ name: '샐러딧 판교파미어스점', address: '경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 B동 103-1호(1층/c블럭) ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
시나본 판교파미어스점,경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 B동 지1층 B103-1호 ,37.40804159,127.0981152,0.85,"{ name: '시나본 판교파미어스점', address: '경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 B동 지1층 B103-1호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
아비꼬 판교파미어스몰점,경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어B동 2층 201-3호 ,37.40804159,127.0981152,0.85,"{ name: '아비꼬 판교파미어스몰점', address: '경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어B동 2층 201-3호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
오지(OG)버거,경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 B동 1층 102-1호 ,37.40804159,127.0981152,0.85,"{ name: '오지(OG)버거', address: '경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 B동 1층 102-1호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
오투닭갈비&부대찌개 판교아이스퀘어점,경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어F동 201호 ,37.40804159,127.0981152,0.85,"{ name: '오투닭갈비&부대찌개 판교아이스퀘어점', address: '경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어F동 201호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
오한수우육면가 판교파미어스몰점,경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 A동 2층 203-1호 ,37.40804159,127.0981152,0.85,"{ name: '오한수우육면가 판교파미어스몰점', address: '경기도 성남시 수정구 시흥동 288-2 판교아이스퀘어 A동 2층 203-1호 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
원유로스페셜티 판교 제2테크노밸리점,경기도 성남시 수정구 시흥동 288-2 C2블록 판교아이스퀘어A동 B104-2 ,37.40804159,127.0981152,0.85,"{ name: '원유로스페셜티 판교 제2테크노밸리점', address: '경기도 성남시 수정구 시흥동 288-2 C2블록 판교아이스퀘어A동 B104-2 ', latitude: 37.40804159, longitude: 127.0981152, distance: 0.85 },",,,,,
